Pulse,Sweep,avg EPSP amplitude (mV)
1,1,7.9142902977765
2,1,5.215133462722
3,1,5.648328146586834
4,1,4.393732446866667
1,2,10.1815902938445
2,2,5.363133037463
3,2,2.7163948398083337
4,2,2.8772434840600005
1,3,9.970445030679333
2,3,2.8062536536405
3,3,2.39919659604
4,3,2.6527142811876665
1,4,8.863465705265666
2,4,1.192746994396
3,4,2.629267730905167
4,4,2.6276578428223334
1,5,8.018493652343833
2,5,2.6567979560545
3,5,2.118329439933
4,5,2.6172410580328336
1,6,7.145873270928999
2,6,1.4074386563151666
3,6,2.643337434468
4,6,2.683036300974667
1,7,6.921164769058333
2,7,1.6036656064291666
3,7,2.2435704013333333
4,7,3.7292902125046665
1,8,6.763491081074
2,8,1.5673060746243335
3,8,1.9644205652488334
4,8,2.6570672052913333
1,9,6.3869771547615
2,9,1.7409394107138334
3,9,2.4343383459683334
4,9,2.1660469550018338
1,10,5.95966540277
2,10,1.6637607865658335
3,10,2.2477980625505
4,10,1.9989503004276667
1,11,6.271623230228833
2,11,1.6746890420716667
3,11,1.9428204201785
4,11,2.0379612493951664
1,12,6.169115503629
2,12,1.6771032630153335
3,12,1.7947243177331667
4,12,2.2521223484850004
