Sweep,Pulse 2/Pulse 1,Pulse 3/Pulse 1,Pulse 4/Pulse 1
1,1.155760886429051,1.3750477318592091,1.0712797342516647
2,1.1709705381971214,0.897607454748801,1.065392369402728
3,0.905955669814761,0.8361761169015934,1.1414383692037569
4,0.5040811387431862,1.1681419430927562,1.2709834637248358
5,1.6428469008770816,1.1304355775758694,1.6043228393093958
6,1.059785993602796,1.654551548709611,1.8133192529735507
7,1.4996268709764635,1.5425845144007264,2.8216156508062924
8,1.5781244086538877,1.3080424524292598,2.172821005097612
9,1.8402975138656235,1.7568954105366528,1.9928825076312282
10,1.6832934803839754,1.8986003829439602,2.1040316615759678
11,2.20217922523102,1.9697267561947545,2.309484813914568
12,2.1751529050110516,1.9621821411956935,2.4926125461804283
