Pulse,Sweep,Average(EPSP amplitude/Fiber volley amplitude)
1,1,0.3439443530715062
2,1,0.3932180266383853
3,1,0.4708424995953096
4,1,0.36312489367020034
1,2,0.4244003895199922
2,2,0.48694028359151753
3,2,0.36034954268636454
4,2,0.4176820852264295
1,3,0.4208648333773483
2,3,0.3546057534112607
3,3,0.35359561864932015
4,3,0.4629410209399863
1,4,0.39441028107418946
2,4,0.19021672794880995
3,4,0.4672341671323151
4,4,0.5037788949035656
1,5,0.36917043976032504
2,5,0.6082000208496025
3,5,0.4164856488187969
4,5,0.553719813531594
1,6,0.3487424809337722
2,6,0.36489536916607873
3,6,0.5746742793913486
4,6,0.614068843573932
1,7,0.3466893454876438
2,7,0.5079523496429976
3,7,0.5352120238814487
4,7,0.9711253773716503
1,8,0.34497281879600195
2,8,0.5221137579273623
3,8,0.46376225711659685
4,8,0.7460028710400483
1,9,0.3352563740770076
2,9,0.5932964525936594
3,9,0.5878885087982654
4,9,0.6694277507702447
1,10,0.3208229375901556
2,10,0.5200507018195851
3,10,0.6057623088816839
4,10,0.6651417966276271
1,11,0.3266285268099548
2,11,0.6348018205516764
3,11,0.6101590199741608
4,11,0.6907682391574207
1,12,0.34486819610913927
2,12,0.6224698384601982
3,12,0.6156746212514769
4,12,0.7639909038230867
