Sweep,Pulse,Normalized EPSP magnitude (%)
1,1,100.0
2,1,128.64817830481897
3,1,125.98027941280476
4,1,111.99318412360783
5,1,101.3166481218993
6,1,90.29076521158966
7,1,87.45148975648286
8,1,85.45922409459993
9,1,80.70183066895974
10,1,75.30258783209347
11,1,79.24429095039426
12,1,77.94906771820334
1,2,100.0
2,2,102.8378866197559
3,2,53.80981471902344
4,2,22.87088150134234
5,2,50.94400699513075
6,2,26.98758653782495
7,2,30.75023137743718
8,2,30.053038638943857
9,2,33.38245172742258
10,2,31.902554334581612
11,2,32.11210324802647
12,2,32.15839584937452
1,3,100.0
2,3,48.09201535944391
3,3,42.47622542061024
4,3,46.54948619608757
5,3,37.50365391240702
6,3,46.79858120610987
7,3,39.72096420582568
8,3,34.77879673892338
9,3,43.09838739520389
10,3,39.79581221584651
11,3,34.39638012802967
12,3,31.77443433093881
1,4,100.0
2,4,65.48517732598555
3,4,60.3749616815975
4,4,59.80468484593806
5,4,59.567602025910446
6,4,61.06508153194533
7,4,84.8774989738886
8,4,60.47403289624943
9,4,49.29856292334145
10,4,45.49549442531923
11,4,46.38337163312053
12,4,51.25761242223732
