Sweep,Pulse,Normalized FV magnitude (%)
1,1,100.0
2,1,105.09977759384492
3,1,104.21285963375553
4,1,99.77826983331208
5,1,95.56541019955586
6,1,91.13082039911316
7,1,88.91352583722286
8,1,87.36141940706837
9,1,83.59201807669146
10,1,82.48337028824774
11,1,84.25720620842512
12,1,80.70953402973822
1,2,100.0
2,2,77.93103459887915
3,2,66.20689567720007
4,2,45.517241139814125
5,2,33.448275159911844
6,2,27.931033809630218
7,2,23.44827573869212
8,2,19.65517283653909
9,2,20.000000157849783
10,2,21.034482911027375
11,2,17.241379482710663
12,2,19.65517231037428
1,3,100.0
2,3,69.32271000619917
3,3,57.768923789326955
4,3,48.60557727334065
5,3,45.01992018218492
6,3,38.64541830262283
7,3,34.66135600996625
8,3,44.22310875331766
9,3,34.661355459039555
10,3,29.482072033606734
11,3,25.498008506112207
12,3,23.10757045800766
1,4,100.0
2,4,53.57143030361272
3,4,44.999999727520844
4,4,41.42857119501856
5,4,36.42857201245345
6,4,33.214285665628985
7,4,29.285715901122945
8,4,26.78571542428575
9,4,28.21428607434859
10,4,21.78571528804541
11,4,21.07142955429813
12,4,21.071429009339358
