Sweep,Pulse 1 to 2 delta V,Pulse 2 to 3 delta V,Pulse 3 to 4 delta V
1,-0.0005374480970203333,0.00018383197796833337,-0.0007890972774475001
2,-0.0011910332056383332,-0.0009736563079058334,0.00010899128392333333
3,-0.0022006565704941667,0.0002012703722963333,-0.00014023550708466663
4,-0.0017547608974079999,0.00022161575422316665,8.355998822166665e-05
5,-0.0015275743789971666,0.00019545798810833336,-9.373255306866669e-05
6,-0.0012647840970506665,0.00020999011273183335,-9.300586922716669e-05
7,-0.0011020236027736666,0.0002143496725086667,0.0009453179858004999
8,-0.0012130737304688333,0.00012860978798316666,9.009954131516669e-05
9,-0.0011367799403766666,0.0002448672506336667,-0.00015331455506383335
10,-0.0011579724960028334,0.000299362911998,4.650297341866666e-05
11,-0.0017072889022528334,0.00026012586507316663,1.9618426449666667e-05
12,-0.001071506102259,0.000340052957957,-0.00013151623231049997
